year,cause,death_count,population,,,
112,mn,53126,23342541,,,
112,hd,23424,23342541,,,
112,pn,16702,23342541,,,
112,cd,12371,23342541,,,
112,dm,11625,23342541,,,
112,co,8962,23342541,,,
112,hy,8930,23342541,,,
112,ai,7063,23342541,,,
112,clrd,6164,23342541,,,
112,nnsn,5814,23342541,,,
111,mn,51927,23319977,,,
111,hd,23668,23319977,,,
111,co,14667,23319977,,,
111,pn,14320,23319977,,,
111,cd,12416,23319977,,,
111,dm,12289,23319977,,,
111,hy,8720,23319977,,,
111,ai,6953,23319977,,,
111,clrd,6494,23319977,,,
111,nnsn,5813,23319977,,,
110,mn,51656,23468275,,,
110,hd,21852,23468275,,,
110,pn,13549,23468275,,,
110,cd,12182,23468275,,,
110,dm,11450,23468275,,,
110,hy,7886,23468275,,,
110,ai,6775,23468275,,,
110,clrd,6238,23468275,,,
110,nnsn,5470,23468275,,,
110,cldc,4065,23468275,,,
109,mn,50161,23582179,,,
109,hd,20457,23582179,,,
109,pn,13736,23582179,,,
109,cd,11821,23582179,,,
109,dm,10311,23582179,,,
109,ai,6767,23582179,,,
109,hy,6706,23582179,,,
109,clrd,5657,23582179,,,
109,nnsn,5096,23582179,,,
109,cldc,3964,23582179,,,
108,mn,50232,23596027,,,
108,hd,19859,23596027,,,
108,pn,15185,23596027,,,
108,cd,12176,23596027,,,
108,dm,9996,23596027,,,
108,ai,6640,23596027,,,
108,clrd,6301,23596027,,,
108,hy,6255,23596027,,,
108,nnsn,5049,23596027,,,
108,cldc,4240,23596027,,,
107,mn,48784,23580080,,,
107,hd,21569,23580080,,,
107,pn,13421,23580080,,,
107,cd,11520,23580080,,,
107,dm,9374,23580080,,,
107,ai,6846,23580080,,,
107,clrd,6146,23580080,,,
107,hy,5991,23580080,,,
107,nnsn,5523,23580080,,,
107,cldc,4315,23580080,,,
106,mn,48037,23555522,,,
106,hd,20644,23555522,,,
106,pn,12480,23555522,,,
106,cd,11755,23555522,,,
106,dm,9845,23555522,,,
106,ai,6965,23555522,,,
106,clrd,6260,23555522,,,
106,hy,6072,23555522,,,
106,nnsn,5381,23555522,,,
106,cldc,4554,23555522,,,
105,mn,47760,23515946,,,
105,hd,20812,23515946,,,
105,pn,12212,23515946,,,
105,cd,11846,23515946,,,
105,dm,9960,23515946,,,
105,ai,7206,23515946,,,
105,clrd,6787,23515946,,,
105,hy,5881,23515946,,,
105,nnsn,5226,23515946,,,
105,cldc,4738,23515946,,,
104,mn,46829,23462914,,,
104,hd,19202,23462914,,,
104,cd,11169,23462914,,,
104,pn,10761,23462914,,,
104,dm,9530,23462914,,,
104,ai,7033,23462914,,,
104,clrd,6383,23462914,,,
104,hy,5536,23462914,,,
104,nnsn,4762,23462914,,,
104,cldc,4688,23462914,,,
103,mn,46093,23403635,,,
103,hd,19399,23403635,,,
103,cd,11733,23403635,,,
103,pn,10353,23403635,,,
103,dm,9846,23403635,,,
103,ai,7118,23403635,,,
103,clrd,6428,23403635,,,
103,hy,5459,23403635,,,
103,cldc,4962,23403635,,,
103,nnsn,4868,23403635,,,
