year,age,popM,popF,NDM,NDF
112,0,67783,63166,331,247
112,1-9,871490,811790,136,95
112,10-19,1061642,975871,323,200
112,20-29,1505359,1393348,1018,493
112,30-39,1658974,1592890,1903,884
112,40-49,1897813,1968265,6475,2575
112,50-59,1729851,1817763,13734,5555
112,60-69,1554200,1696184,23484,11035
112,70-79,814408,964296,26882,17081
112,above80,364684,532768,44675,48449
111,0,72641,67823,335,275
111,1-9,901811,839189,134,94
111,10-19,1069434,979709,335,165
111,20-29,1546486,1430393,1036,499
111,30-39,1683432,1626225,2098,863
111,40-49,1875742,1942680,6488,2621
111,50-59,1746731,1825783,13780,5603
111,60-69,1522345,1654743,23134,10823
111,70-79,758152,895844,26055,16903
111,above80,362144,518675,47010,50187
110,0,79376,73937,359,288
110,1-9,935826,870686,116,96
110,10-19,1092896,1000012,342,178
110,20-29,1586534,1467697,1039,491
110,30-39,1728989,1688568,2002,943
110,40-49,1861169,1927168,6254,2562
110,50-59,1770366,1841638,13158,5228
110,60-69,1503802,1632089,21322,10049
110,70-79,707936,836763,22271,15031
110,above80,359338,503488.5,40201,42242
109,0,84463,78297,333,253
109,1-9,947834,881713,119,97
109,10-19,1148047,1050805,369,166
109,20-29,1614134,1493894,993,482
109,30-39,1769775,1748873,2058,996
109,40-49,1848714,1914508,6033,2445
109,50-59,1784415,1852188,12973,5306
109,60-69,1476673,1603308,20196,9728
109,70-79,663465,786856,20457,13835
109,above80,351958,482264,37854,38374
108,0,87719,81673,379,292
108,1-9,950154,882796,144,106
108,10-19,1207873,1105279,383,208
108,20-29,1628763,1508267,1010,429
108,30-39,1809773,1803186,2347,1040
108,40-49,1833732,1895726,6551,2468
108,50-59,1789353,1852755,13548,5369
108,60-69,1431011,1551696,19957,9855
108,70-79,626183,746237,20365,14188
108,above80,344492,459364.5,38320,38465
107,0,91618,85389,416,336
107,1-9,954718,885470,145,126
107,10-19,1248418,1142606,385,171
107,20-29,1653947,1533181,1018,420
107,30-39,1848096,1851811,2467,1134
107,40-49,1818996,1875770,6521,2561
107,50-59,1789423,1849071,13414,5545
107,60-69,1376599,1489570,19165,9704
107,70-79,594860,712094,20355,14098
107,above80,339573,438872.5,38063,36815
106,0,98568,91590,412,360
106,1-9,955248,884175,131,110
106,10-19,1296290,1187431,410,210
106,20-29,1668512,1548458,1011,456
106,30-39,1879058,1892799,2709,1154
106,40-49,1808930,1858062,6740,2444
106,50-59,1786986,1844418,13513,5451
106,60-69,1316925,1421204,18622,9267
106,70-79,572847,688478,20330,14453
106,above80,336062,419484,37808,36266
105,0,103399,95799,439,372
105,1-9,952688,880266,168,125
105,10-19,1356402,1243584,457,190
105,20-29,1657980,1542308,1141,444
105,30-39,1924376,1944493,2996,1235
105,40-49,1797783,1839170,7023,2491
105,50-59,1781772,1836712,13977,5664
105,60-69,1244742,1339750,17932,9109
105,70-79,562531,676889,20624,14526
105,above80,333988,401317,38228,35277
104,0,103806,96594,490,391
104,1-9,949692,875865,167,107
104,10-19,1415841,1299562,465,193
104,20-29,1654003,1544752,1081,479
104,30-39,1957524,1980835,2991,1173
104,40-49,1797820,1832140,7104,2541
104,50-59,1773163,1824163,13326,5401
104,60-69,1159208,1245764,16499,8466
104,70-79,561957,675113,20239,14467
104,above80,331998,383119,35868,32126
103,0,99006,92504,446,315
103,1-9,954750,878172,173,151
103,10-19,1471907,1352990,466,217
103,20-29,1665910,1563667,1083,443
103,30-39,1959045,1984951,3207,1235
103,40-49,1814925,1840949,7319,2585
103,50-59,1757270,1805384,13268,5742
103,60-69,1080343,1159340,15641,8172
103,70-79,559088,670278,20582,14895
103,above80,329080,364081,35794,31152
